年,月,日,描述,类别,金额,纬度,经度
2019,11,2,宇治,⛱️打卡,JP¥0,34.89289877327640,135.8061305431140
2021,10,10,岐阜城,⛱️打卡,JP¥0,35.43391722686710,136.7820576883690
2022,1,4,清水寺,⛱️打卡,JP¥0,34.99521948708890,135.78480959738000
2022,1,4,金阁寺,⛱️打卡,JP¥0,35.03935317300600,135.7292499990690
2022,1,4,伏见稻荷大社,⛱️打卡,JP¥0,34.96719043671470,135.77278685918200
2022,6,4,砥神山,⛱️打卡,JP¥0,34.82582448473020,137.2673958212690
2022,6,4,八百富神社,⛱️打卡,JP¥0,34.81072311301110,137.23160907605300
2022,11,2,湯谷温泉,⛱️打卡,JP¥0,34.97030729936160,137.61377873640800
2022,12,11,三河湾リゾートリンクス,⛱️打卡,JP¥0,34.78148964190260,137.09389097514500
2022,12,19,鎌倉,⛱️打卡,JP¥0,35.31682059510540,139.53576080666400
2022,12,19,鎌倉,⛱️打卡,JP¥0,35.30072572255950,139.48030497700800
2022,12,19,鎌倉,⛱️打卡,JP¥0,35.30664018547800,139.49805619202800
2022,12,19,鎌倉,⛱️打卡,JP¥0,35.31109095630200,139.47741838941300
2023,1,6,超市,🛒生活费,JP¥5250,35.1520288113432,136.9581841827640
2023,1,6,西本智实音乐会门票,🐼特别支出,JP¥6400,34.66524888535700,135.21369711040100
2023,1,6,买模型全部,👔服饰•趣味费,JP¥5192,35.1520288113432,136.9581841827640
2023,1,6,东北大冷面,🍻社交费,JP¥3150,35.1520288113432,136.9581841827640
2023,1,6,面条 手抓饼 油条,🛒生活费,JP¥2441,35.1520288113432,136.9581841827640
2023,1,6,公交地铁,🍻社交费,JP¥481,35.1520288113432,136.9581841827640
2023,1,6,裤子退货総费,👔服饰•趣味费,JP¥1280,35.1520288113432,136.9581841827640
2023,1,6,爽肤水 保湿啫喱,💊健康医药费,JP¥6300,35.1520288113432,136.9581841827640
2023,1,6,《小狗钱钱》,📖自我投资,JP¥1015,35.1520288113432,136.9581841827640
2023,1,6,超市,🛒生活费,JP¥734,35.1520288113432,136.9581841827640
2023,1,6,麻辣串串,🍻社交费,JP¥1500,35.1650240103144,136.9090101871680
2023,1,6,扎带,🛒生活费,JP¥110,35.1711140027017,136.9096018109470
2023,1,6,山ちゃん  名物,🍻社交费,JP¥3200,35.1681099160371,136.9134547276740
2023,1,6,超市,🛒生活费,JP¥287,35.1535690575133,136.9505987747180
2023,1,6,United Tokyo,👔服饰•趣味费,JP¥25180,35.1520288113432,136.9581841827640
2023,1,7,牙膏2支,🛒生活费,JP¥550,35.1368717324570,136.9628121801150
2023,1,7,超市,🛒生活费,JP¥1042,35.1368717324570,136.9628121801150
2023,1,8,超市,🛒生活费,JP¥3196,35.1535690575133,136.9505987747180
2023,1,9,面包 烤鱼,🛒生活费,JP¥494,35.1544262023961,136.9614688140500
