年,月,日,描述,类别,金额,纬度,经度
2023,1,6,超市,🛒生活费,JP¥5250,35.1520288,136.958184
2023,1,6,西本智实音乐会门票,🐼特别支出,JP¥6400,35.1520288,136.958184
2023,1,6,买模型全部,👔服饰•趣味费,JP¥5192,35.1520288,136.958184
2023,1,6,东北大冷面,🍻社交费,CN¥158,35.1520288,136.958184
2023,1,6,面条 手抓饼 油条,🛒生活费,JP¥2441,35.1520288,136.958184
2023,1,6,公交地铁,🍻社交费,JP¥481,35.1520288,136.958184
2023,1,6,裤子退货総费,👔服饰•趣味费,JP¥1280,35.1520288,136.958184
2023,1,6,爽肤水 保湿啫喱,💊健康医药费,JP¥6300,35.1520288,136.958184
2023,1,6,《小狗钱钱》,📖自我投资,JP¥1015,35.1520288,136.958184
2023,1,6,超市,🛒生活费,JP¥734,35.1520288,136.958184
2023,1,6,麻辣串串,🍻社交费,JP¥1500,35.165024,136.90901
2023,1,6,扎带,🛒生活费,JP¥110,35.171114,136.909602
2023,1,6,山ちゃん  名物,🍻社交费,JP¥3200,35.1681099,136.913455
2023,1,6,超市,🛒生活费,JP¥287,35.1535691,136.950599
2023,1,6,United Tokyo,👔服饰•趣味费,JP¥25180,35.1520288,136.958184
2023,1,7,牙膏2支,🛒生活费,JP¥550,35.1368717,136.962812
2023,1,7,超市,🛒生活费,JP¥1042,35.1368717,136.962812
2023,1,8,超市,🛒生活费,JP¥3196,35.1535691,136.950599
2023,1,9,面包 烤鱼,🛒生活费,JP¥494,35.1544262,136.961469
2023,1,10,南航里程换小电饭煲,🛸其他,CN¥92.7,35.1544262,136.961469
2023,1,11,食堂,🛒生活费,JP¥612,35.1544262,136.961469
2023,1,13,食堂,🛒生活费,JP¥530,35.1544262,136.961469
2023,1,14,SONY A7M4 全套,⚠️预算外特别支出,CN¥25000,35.1520288,136.958184
2023,1,14,吃饭聚餐,🍻社交费,JP¥7000,35.1520288,136.958184
2023,1,15,超市,🛒生活费,JP¥5086,35.1520288,136.958184
2023,1,16,鸡胸肉,🛒生活费,JP¥218,35.1544262,136.961469
2023,1,17,食堂,🛒生活费,JP¥583,35.1544262,136.961469
2023,1,18,西本智实音乐会车票,🐼特别支出,JP¥11560,35.1567803,136.965807
2023,1,19,食堂 饭团,🛒生活费,JP¥763,35.1520288,136.958184
2023,1,19,宽带解约费,🐼特别支出,JP¥10450,35.1520288,136.958184
2023,1,20,食堂,🛒生活费,JP¥517,35.1544262,136.961469
2023,1,21,交通费,🐼特别支出,JP¥500,35.1544262,136.961469
2023,1,21,超市,🛒生活费,JP¥4005,35.1881069,136.95601
2023,1,22,交通费,🐼特别支出,JP¥2000,34.6882988,135.188473
2023,1,22,生煎水饺,🐼特别支出,CN¥49.53,34.6882988,135.188473
2023,1,25,食堂 咖啡,🛒生活费,JP¥900,35.1544262,136.961469
2023,1,25,食堂 饭团,🛒生活费,JP¥485,35.1544262,136.961469
2023,1,26,咖啡,🛒生活费,JP¥220,35.1544262,136.961469
2023,1,26,食堂,🛒生活费,JP¥814,35.1558305,136.969319
2023,1,26,坚果,🛒生活费,JP¥320,35.1544262,136.961469
2023,1,27,食堂,🛒生活费,JP¥2000,35.1544262,136.961469
2023,1,28,咖啡,🛒生活费,JP¥110,35.1544262,136.961469
2023,1,28,交通,🛒生活费,JP¥240,35.1306451,136.954233
2023,1,28,看咳嗽,💊健康医药费,JP¥4130,35.1306451,136.954233
2023,1,28,手套 垃圾袋,🛒生活费,JP¥220,35.1368717,136.962812
2023,1,28,超市,🛒生活费,JP¥1993,35.1368717,136.962812
2023,1,28,袜子,👔服饰•趣味费,JP¥780,35.1368717,136.962812
2023,1,28,维生素B 两瓶,💊健康医药费,JP¥1256,35.1368717,136.962812
2023,1,28,八百鲜,🛒生活费,JP¥665,35.1520825,136.951407
2023,1,28,超市,🛒生活费,JP¥2501,35.1520288,136.958184
2023,1,29,肥皂液  纸币袋子,🛒生活费,JP¥3422,35.1520288,136.958184
2023,2,1,食堂,🛒生活费,JP¥440,35.155625,136.969172
2023,2,1,食堂,🛒生活费,JP¥550,35.153643,136.962866
2023,2,1,IIP2023登録費,💼公费支出,JP¥10000,35.1544262,136.961469
2023,2,2,食堂,🛒生活费,JP¥429,35.155606,136.969205
2023,2,2,Widget Web,🛒生活费,CN¥18,35.1520582,136.958228
2023,2,3,超市,🛒生活费,JP¥3822,35.1614288,136.92415
2023,2,3,物产店,🛒生活费,CN¥177.86,35.1654324,136.91248
2023,2,3,麻辣烫,🍻社交费,CN¥120,35.1663089,136.915289
2023,2,4,自助烤肉,🍻社交费,JP¥3828,35.1420577,136.956433
2023,2,4,水族馆门票,🍻社交费,JP¥2440,35.0920296,136.87853
2023,2,4,公交地铁,🍻社交费,JP¥620,35.1489387,136.948093
2023,2,5,超市,🛒生活费,JP¥1845,35.1367446,136.963375
2023,2,5,理发,🛒生活费,JP¥1200,35.1364424,136.962792
2023,2,6,糕点,🛒生活费,JP¥128,35.1540807,136.962978
2023,2,6,食堂,🛒生活费,JP¥506,35.1564642,136.965813
2023,2,7,摄影课程,👔服饰•趣味费,CN¥6,35.1544262,136.961469
2023,2,7,食堂,🛒生活费,JP¥484,35.1535245,136.962776
2023,2,8,食堂,🛒生活费,JP¥506,35.1565636,136.965924
2023,2,8,IIP2023新幹線,💼公费支出,JP¥27220,35.1566691,136.965544
2023,2,9,超市,🛒生活费,JP¥1536,35.1534661,136.950358
2023,2,9,食堂,🛒生活费,JP¥638,35.1535316,136.962773
2023,2,9,咖啡,🛒生活费,JP¥110,35.1538773,136.962916
2023,2,10,咖啡,🛒生活费,JP¥110,35.1545604,136.961484
2023,2,10,食堂,🛒生活费,JP¥587,35.1536737,136.962888
2023,2,10,《正しい家計管理　長期プラン編》,📖自我投资,JP¥1603,35.1543389,136.961758
2023,2,11,回锅肉定食,🛒生活费,JP¥1000,35.1429243,136.956012
2023,2,12,水,🛒生活费,JP¥108,35.1569829,136.958442
2023,2,12,超市,🛒生活费,JP¥2533,35.1533813,136.950247
2023,2,13,咖啡,🛒生活费,JP¥110,35.1545841,136.961464
2023,2,13,食堂,🛒生活费,JP¥550,35.1535128,136.962704
2023,2,14,食堂,🛒生活费,JP¥627,35.1564544,136.966158
2023,2,15,食堂,🛒生活费,JP¥627,35.15657,136.96593
2023,2,16,食堂,🛒生活费,JP¥473,35.1536289,136.962849
2023,2,17,天妇罗面 阿凡达电影,🍻社交费,JP¥3036,35.1176369,137.022774
2023,2,18,超市,🛒生活费,JP¥3718,35.1535706,136.950517
