年,月,日,描述,类别,金额,纬度,经度
23,2,18,超市,🛒生活费,JP¥3718,35.15357056,136.9505169
23,2,17,天妇罗面 阿凡达电影,🍻社交费,JP¥3036,35.1176369,137.0227736
23,2,16,食堂,🛒生活费,JP¥473,35.15362895,136.9628487
23,2,15,食堂,🛒生活费,JP¥627,35.15656997,136.9659302
23,2,14,食堂,🛒生活费,JP¥627,35.15645439,136.9661584
23,2,13,咖啡,🛒生活费,JP¥110,35.15458405,136.9614637
23,2,13,食堂,🛒生活费,JP¥550,35.15351276,136.962704
23,2,12,水,🛒生活费,JP¥108,35.15698288,136.9584417
23,2,12,超市,🛒生活费,JP¥2533,35.15338133,136.9502468
23,2,11,回锅肉定食,🛒生活费,JP¥1000,35.14292429,136.9560119
23,2,10,咖啡,🛒生活费,JP¥110,35.15456035,136.9614839
23,2,10,食堂,🛒生活费,JP¥587,35.15367374,136.9628883
23,2,10,《正しい家計管理　長期プラン編》,📖自我投资,JP¥1603,35.1543389,136.9617585
23,2,9,超市,🛒生活费,JP¥1536,35.15346614,136.9503578
23,2,9,食堂,🛒生活费,JP¥638,35.15353157,136.9627727
23,2,9,咖啡,🛒生活费,JP¥110,35.15387733,136.9629162
23,2,8,食堂,🛒生活费,JP¥506,35.15656358,136.9659236
23,2,8,IIP2023新幹線,💼公费支出,JP¥27220,35.15666905,136.9655436
23,2,7,摄影课程,👔服饰•趣味费,CN¥6.00,35.1544262,136.9614688
23,2,7,食堂,🛒生活费,JP¥484,35.15352452,136.9627759
23,2,6,糕点,🛒生活费,JP¥128,35.15408068,136.9629775
23,2,6,食堂,🛒生活费,JP¥506,35.1564642,136.9658129
23,2,5,超市,🛒生活费,JP¥1845,35.13674462,136.9633752
23,2,5,理发,🛒生活费,JP¥1200,35.13644236,136.9627915
23,2,4,自助烤肉,🍻社交费,JP¥3828,35.14205769,136.9564333
23,2,4,水族馆门票,🍻社交费,JP¥2440,35.09202962,136.8785303
23,2,4,公交地铁,🍻社交费,JP¥620,35.14893869,136.9480928
23,2,3,超市,🛒生活费,JP¥3822,35.16142882,136.9241504
23,2,3,物产店,🛒生活费,CN¥177.86,35.16543241,136.9124803
23,2,3,麻辣烫,🍻社交费,CN¥120.00,35.16630893,136.9152888
23,2,2,食堂,🛒生活费,JP¥429,35.15560598,136.9692054
23,2,2,Widget Web,🛒生活费,CN¥18.00,35.15205821,136.9582284
23,2,1,食堂,🛒生活费,JP¥440,35.15562501703351,35.15562502
23,2,1,食堂,🛒生活费,JP¥550,35.15364301,136.9628662
23,2,1,IIP2023登録費,💼公费支出,JP¥10000,35.1544262,136.9614688
23,1,29,肥皂液  纸币袋子,🛒生活费,JP¥3422,35.15202881,136.9581842
23,1,28,咖啡,🛒生活费,JP¥110,35.1544262,136.9614688
23,1,28,交通,🛒生活费,JP¥240,35.13064511,136.9542328
23,1,28,看咳嗽,💊健康医药费,JP¥4130,35.13064511,136.9542328
23,1,28,手套 垃圾袋,🛒生活费,JP¥220,35.13687173,136.9628122
23,1,28,超市,🛒生活费,JP¥1993,35.13687173,136.9628122
23,1,28,袜子,👔服饰•趣味费,JP¥780,35.13687173,136.9628122
23,1,28,维生素B 两瓶,💊健康医药费,JP¥1256,35.13687173,136.9628122
23,1,28,八百鲜,🛒生活费,JP¥665,35.15208254,136.951407
23,1,28,超市,🛒生活费,JP¥2501,35.15202881,136.9581842
23,1,27,食堂,🛒生活费,JP¥2000,35.1544262,136.9614688
23,1,26,咖啡,🛒生活费,JP¥220,35.1544262,136.9614688
23,1,26,食堂,🛒生活费,JP¥814,35.15583049,136.9693186
23,1,26,坚果,🛒生活费,JP¥320,35.1544262,136.9614688
23,1,25,食堂 咖啡,🛒生活费,JP¥900,35.1544262,136.9614688
23,1,25,食堂 饭团,🛒生活费,JP¥485,35.1544262,136.9614688
23,1,22,交通费,🐼特别支出,JP¥2000,34.68829878,135.1884725
23,1,22,生煎水饺,🐼特别支出,CN¥49.53,34.68829878,135.1884725
23,1,21,交通费,🐼特别支出,JP¥500,35.1544262,136.9614688
23,1,21,超市,🛒生活费,JP¥4005,35.18810689,136.9560099
23,1,20,食堂,🛒生活费,JP¥517,35.1544262,136.9614688
