日期,描述,类别,金额 (JPY),备注,反思,位置
23.2.1,IIP2023登録費,💼公费支出,JP¥	10000,未报销,,日本  爱知县  名古屋市千种区  宫东町 #35.154426202396145#136.96146881405014
,——— 1 月 ———,,,,,
23.1.29,肥皂液  纸币袋子,🛒生活费,JP¥	3422,,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.28,咖啡,🛒生活费,JP¥	110,,,日本  爱知县  名古屋市千种区  宫东町 #35.154426202396145#136.96146881405014
23.1.28,交通,🛒生活费,JP¥	240,,,日本  爱知县  名古屋市瑞穗区  弥富町月见冈-5 #35.13064510937689#136.954232762176
23.1.28,看咳嗽,💊健康医药费,JP¥	4130,,,日本  爱知县  名古屋市瑞穗区  弥富町清水冈-41-1 #35.13064510937689#136.954232762176
23.1.28,手套 垃圾袋,🛒生活费,JP¥	220,,,日本  爱知县  名古屋市昭和区  八事本町28-29 #35.13687173245706#136.9628121801157
23.1.28,超市,🛒生活费,JP¥	1993,,,日本  爱知县  名古屋市昭和区  广路町石坂-48-1 #35.13687173245706#136.9628121801157
23.1.28,袜子,👔服饰•趣味费,JP¥	780,,,日本  爱知县  名古屋市昭和区  国道153号 #35.13687173245706#136.9628121801157
23.1.28,维生素B 两瓶,💊健康医药费,JP¥	1256,,,日本  爱知县  名古屋市昭和区  国道153号 #35.13687173245706#136.9628121801157
23.1.28,八百鲜,🛒生活费,JP¥	665,,,日本  爱知县  名古屋市昭和区  山花町26 #35.15208254100271#136.95140701101542
23.1.28,超市,🛒生活费,JP¥	2501,,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.27,食堂,🛒生活费,JP¥	2000,,,日本  爱知县  名古屋市千种区  宫东町 #35.154426202396145#136.96146881405014
23.1.26,咖啡,🛒生活费,JP¥	220,,,日本  爱知县  名古屋市千种区  宫东町 #35.154426202396145#136.96146881405014
23.1.26,食堂,🛒生活费,JP¥	814,,,日本  爱知县  名古屋市千种区  仁座町 #35.15583049194897#136.9693185759165
23.1.26,坚果,🛒生活费,JP¥	320,,,日本  爱知县  名古屋市千种区  宫东町 #35.154426202396145#136.96146881405014
23.1.25,食堂 咖啡,🛒生活费,JP¥	900,,,日本  爱知县  名古屋市千种区  宫东町 #35.154426202396145#136.96146881405014
23.1.25,食堂 饭团,🛒生活费,JP¥	485,,,日本  爱知县  名古屋市千种区  宫东町 #35.154426202396145#136.96146881405014
23.1.22,交通费,🐼特别支出,JP¥	2000,,,日本  兵库县  神户市中央区  荣町通1-2-28 #34.68829878166991#135.18847252507555
